Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-10-17,12:05,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,"19° 8' 39.59""","65° 33' 57.58""",-19.1443,-65.566,0.525,0,1636,149.7,8.54,-98.5,611,0.2,24.8,6.04,102.5,54.5,446,389,18,NA,310,40,150,10.8,161.1,35.72,52.36,16.47,5.92,40.62,52.97,55.64,12.73,NA,NA,NA,NA,5.08,NA,2.5,1,NA,NA,NA,NA,NA,NA,5,5,25,25,5,150,1,5,25,0.5,0.25,0.5,2.5,0.25,50,213,0.5,5,350,3,24,132,4,1.3,2,2.5,0.25,2804,380,0.5,NA,5e-4,NA,NA,NA,NA,7333.33,NA,222.22,NA,9277.78,72.22,1333.33,NA,155777.78,11111.11,111.11,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-10-17,10:35,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 55.43""","65° 34' 17.58""",-19.1321,-65.5715,0.647,2,845,176.2,8.59,-99.65,1184,0.5,19.4,7.85,118.6,47.5,730,675,15,NA,204,0.05,155,176.2,140.1,43.79,22.13,152.58,16.02,46.32,25.44,159.99,30.12,NA,NA,NA,NA,16.98,NA,2.5,3,NA,NA,NA,NA,NA,NA,5,5,25,25,5,60,1,5,25,32,0.25,0.5,2.5,0.25,50,1754,0.5,5,228,3,11,213,42,0.8,4,2.5,0.25,1895,1820,0.5,NA,5e-4,NA,NA,NA,NA,14200,NA,666.67,NA,4400,53.33,733.33,NA,126333.33,11200,133.33,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2023-10-16,13:45,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.25""","65° 14' 24.27""",-20.7423,-65.2401,0.326,3,674,186.4,8.616,-103.1,1484,0.7,24.6,7.55,121.25,8.85,1487,1288,25,NA,540,40,145,48.8,627.7,71.26,100.7,82.75,9.47,72.78,103.2,90.29,19.78,NA,NA,NA,NA,5.2,NA,2.5,1,NA,NA,NA,NA,NA,NA,5,5,25,25,5,67,2,5,25,6,0.25,0.5,2.5,0.25,50,1085,0.5,5,144,2,5,25,9,0.25,0.5,2.5,0.25,342,2123,0.5,NA,5e-4,NA,NA,NA,NA,NA,NA,120,NA,41520,NA,NA,NA,13680,3080,0,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2023-10-16,11:35,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 20.86""","65° 12' 32.54""",-21.2391,-65.209,0.042,0,402,263.5,7.98,-67.2,2490,1.3,28,10.11,172.3,2.45,NA,2368,17,NA,510,0.05,255,132.1,999.4,180.7,102.8,178.4,12.86,196.7,117.2,182.7,16.02,NA,NA,NA,NA,5.7,NA,2.5,1,NA,NA,NA,NA,NA,NA,5,5,25,25,5,570,3,5,25,3,0.25,0.5,2.5,0.25,50,4331,0.5,5,575,4,5,25,3,0.25,0.5,2.5,0.25,50,4724,0.5,NA,5e-4,NA,NA,NA,NA,NA,NA,0,NA,23117.65,NA,NA,NA,NA,294.12,58.82,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2023-10-15,13:30,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"21° 15' 31.35""","63° 30' 41.54""",-21.2587,-63.5115,0.144,11,470,214,8.516,-97.6,2130,1.1,24.8,8.59,109.6,28.7,1373,1299,13,NA,444.4,NA,137.4,385.6,435.5,85.1,55.6,392.5,10.9,101,57,397,11.1,NA,NA,NA,NA,4.5,NA,10,14.2,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,3,0.25,0.5,2.5,0.25,50,1544,0.5,5,25,0.5,5,25,7,0.7,0.5,2.5,0.25,456,1549,1,NA,0.5,NA,NA,NA,76.92,NA,NA,307.69,NA,384.62,53.85,NA,NA,35076.92,NA,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2023-10-15,6:50,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 40.43""","62° 31' 6.77""",-22.3779,-62.5185,NA,NA,431,179.6,8.341,-86.7,2320,1.2,22.1,7.58,90,117,1604,1446,107,NA,501.7,NA,149.9,398.7,480,99,61,412,12.5,101,65,450,12.9,NA,NA,NA,NA,4.5,NA,3,11.5,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,1,5,25,4,0.25,0.5,2.5,0.25,50,849,0.5,5,78,3,5,25,8,0.25,3,2.5,0.25,3614,1379,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,37.38,NA,4953.27,NA,NA,NA,33775.7,728.97,18.69,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Quiaca,ALQ-040,2023-08-08,13:05,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Quiaca,Unidad 5,"22° 5' 51,99""","65° 35' 9.63""",-22.0975,-65.586,0.423,0,1057.5,87.95,8.55,-96.6,946.5,0.4,15.4,4.23,63.7,186,628,510,80,53,240,0.05,270,47.6,122.2,45.91,20.6,92.4,15.83,50.42,21.07,123,17.82,3.6,3.2,30.9,0.03,9.5,3.7,35,49,NA,150000,150000,NA,NA,420,5,5,25,25,5,25,2,5,25,11,0.25,0.5,2.5,0.25,50,732,0.5,5,25,4,16,97,15,0.25,6,2.5,0.25,5321,1173,0.5,0.025,0.023,5e-4,NA,NA,NA,1212.5,NA,50,NA,5512.5,NA,200,NA,66512.5,NA,25,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,20,NA,NA,NA
Chuquiago,BCH-060,2023-08-08,10:15,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 40.58""","65° 38' 51.74""",-21.5613,-65.6477,NA,NA,855,156.4,8.68,-97.14,1169,0.5,9.4,8.52,104.2,56.4,1072,926,27,12,430,30,165,62.4,397,81.4,70.43,90.21,6.86,82.4,83.3,108.8,8.1,0.37,0.21,1.6,0.06,5.94,4.3,2.5,4,NA,810,720,NA,NA,10,5,5,25,25,5,25,0.5,5,25,3,0.25,0.5,2.5,0.25,50,2248,0.5,5,25,0.5,5,25,4,0.25,2,2.5,0.25,1522,3031,0.5,0.025,0.001,0.041,NA,NA,NA,NA,NA,37.04,NA,29000,NA,NA,NA,56370.37,NA,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,7,NA,NA,NA
La Angostura,BTP-090,2023-08-08,8:15,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 30' 35.471""","65° 41' 57.899""",-21.5099,-65.6994,0.623,1,649,130.5,8.75,-100.35,1541,0.7,8.35,7.29,87,15.9,1501,1387,12,8,574,10,195,63.1,664.1,91.76,103.1,91.58,6.77,102,104.2,107.5,10.61,0.52,0.28,5.3,0.13,6.19,5,6,9,NA,810,540,NA,NA,16,5,5,25,25,5,51,1,5,25,1,0.25,0.5,2.5,0.25,50,2123,0.5,5,58,7,5,25,3,0.25,1,2.5,0.25,227,2464,0.5,0.025,0.005,0.083,NA,NA,NA,NA,NA,166.67,NA,28416.67,NA,NA,NA,18916.67,583.33,500,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,NA,NA
Cotagaita,BCO-070,2023-08-07,16:00,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 23.178""","65° 39' 18.726""",-20.8231,-65.6552,0.676,2,576,156.05,8.2,-73.94,1738,0.85,19.5,6.9,103.4,103,575,427,93,11,408,1,70,47.6,787.3,97.11,138.3,46.12,8.85,110.1,172.6,75.53,9.8,0.2,0.2,1,0.01,4.84,5,2.5,6,NA,40,18,NA,NA,2,5,5,25,25,5,390,53,5,25,3,0.25,0.5,2.5,0.25,50,2252,0.5,5,399,57,5,124,13,0.8,6,2.5,0.25,2139,2610,0.5,0.025,5e-4,0.011,NA,NA,NA,1333.33,NA,107.53,NA,3849.46,8.6,NA,NA,23000,96.77,43.01,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,NA,NA
Tumusla,BTU-080,2023-08-07,14:20,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 11.946""","65° 37' 6.954""",-20.4867,-65.6186,0.672,5,1409,163.1,8.58,-94.1,710,0.3,16.7,7.62,107,118,677,516,84,59,272,2,105,43.1,211.6,53.71,28.53,38.19,7.29,56.51,47.37,55.9,8.1,0.2,0.05,0.4,0.01,4.59,2.9,2.5,7,NA,33,18,NA,NA,10,5,5,25,25,5,25,1,5,25,4,0.25,0.5,2.5,0.25,50,824,0.5,5,25,2,5,25,5,0.25,2,2.5,0.25,3633,1205,0.5,0.025,5e-4,0.002,NA,NA,NA,NA,NA,11.9,NA,4535.71,NA,NA,NA,43250,NA,11.9,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,NA,NA
Yocalla,BYO-025,2023-08-07,9:25,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 23' 51.252""","65° 54' 27.816""",-19.3976,-65.9077,0.553,3,1380.5,142.4,9.08,-117.1,724,0.3,6.2,8.41,100.3,40.9,192,151,20,39,132,1,70,161.4,36.6,32.57,4.21,60.37,5.63,33.17,5.72,95.2,6.53,0.3,0.3,0.6,0.02,4.96,5.7,6,9,NA,24,10,NA,NA,0,5,5,25,25,5,25,0.5,5,25,13,0.25,0.5,2.5,0.25,50,803,0.5,5,25,0.5,5,25,13,0.25,0.5,2.5,0.25,699,1098,0.5,0.025,5e-4,0.033,NA,NA,NA,NA,NA,0,NA,14750,NA,NA,NA,34950,NA,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,NA,NA
Colavi - Canutillos,BC7-113,2023-08-06,14:30,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.136""","65° 33' 6.954""",-19.3214,-65.5519,0.167,0,1883.5,137.2,3.69,172.43,531.5,0.2,13,6.9,101.6,78.2,442,320,30,8,192,0.05,0.05,6.2,208.1,15.44,45.5,1.54,1.09,44.35,63.04,4.49,1.56,0.05,0.05,0.26,0.01,7.66,18.34,11,14,NA,NA,NA,NA,NA,NA,5,5,25,25,5,5690,34,739,1864,0.5,8,3,2.5,0.25,5314,40,0.5,5,7153,34,749,2194,6,8,3,2.5,0.25,21235,50,0.5,0.025,5e-4,0.031,NA,NA,NA,11000,63.67,200,NA,333.33,0,333.33,NA,530700,48766.67,0,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,10,NA,NA,NA
Puente Mendez,BPM-120,2023-08-06,10:10,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 21' 36.852""","65° 10' 12.726""",-19.3602,-65.1702,0.625,7,790,174.2,8.78,-103.3,1266,0.6,12.1,8.93,108.2,24.6,791,771,6,12,278,0.05,140,225.5,158.7,57.79,22.63,149.1,8,71.94,62.54,162.9,13.12,0.49,0.18,0.26,0.04,9.62,9.94,7,10,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,1,5,68,14,0.25,0.5,2.5,0.25,50,870,0.5,5,25,6,5,202,20,0.5,3,2.5,0.25,881,992,0.5,0.025,5e-4,0.005,NA,NA,NA,22333.33,NA,1000,NA,20333.33,83.33,NA,NA,146833.33,NA,833.33,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,9,NA,NA,NA
Viña Quemada,BVQ-122,2023-08-05,13:00,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 27.648""","64° 51' 47.184""",-19.4077,-64.8631,0.532,9,774,199.6,8.73,-103.4,1293,0.6,17.1,9.48,125.4,17.4,884,834,2,14,326,20,150,207.6,196.1,56.75,25.95,135.5,9.04,60.12,54.3,168.4,11.79,0.4,0.12,0.21,0.09,7.91,9.24,21,28,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,1,5,25,20,0.25,0.5,2.5,0.25,50,688,0.5,5,25,7,5,56,28,0.25,1,2.5,0.25,412,1006,0.5,0.025,5e-4,0.017,NA,NA,NA,28000,NA,4000,NA,159000,NA,NA,NA,206000,NA,3000,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,14,NA,NA,NA
Talula - Automática,BTL-119,2023-08-04,12:45,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 7' 51.438""","65° 27' 2.334""",-19.131,-65.4506,NA,NA,774,165.2,8.53,-90.53,1292,0.6,14.4,8.07,107.5,63.6,899,806,50,18,258,0.05,130,246.6,164.3,54.32,22.37,203.3,11.65,56.57,55.75,230,12.93,0.46,0.28,2.09,0.48,12.2,15.54,12,15,NA,NA,NA,NA,NA,NA,5,5,25,25,5,132,2,5,105,19,0.25,0.5,2.5,0.25,50,1099,0.5,5,183,8,24,719,47,1.8,7,2.5,0.25,2313,1499,0.5,0.025,5e-4,0.006,NA,NA,NA,12280,NA,560,NA,8000,36,480,NA,46260,1020,120,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,10,NA,NA,NA
San Antonio - Potosí,BSA-030,2023-08-03,16:05,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.544""","65° 48' 12""",-19.5782,-65.8033,0.437,0,697,108.1,8.014,-62.3,1434,0.7,13.8,5.35,79.2,473,4013,1650,2263,520,196,0.05,270,117.2,284.4,60.01,29.5,126,37.16,64.18,30.65,135,43.09,0.8,0.3,61.1,0.01,13.43,11.34,240,342,NA,150000,150000,NA,NA,40,5,5,25,25,5,1487,18,12,3294,71,0.6,1,2.5,0.25,7286,265,0.5,5,1588,18,147,6755,157,16.8,85,2.5,0.25,15850,281,0.5,0.025,0.08,0.11,NA,NA,NA,1529.39,21.14,38,NA,7.07,7.16,59.66,NA,3784.36,44.63,0,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,103,NA,NA,NA
Tarapaya,BTA-050,2023-08-03,14:15,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.726,65 47 39.402,-19.4719,-65.7943,0.582,1,1104,125,7.782,-49.5,905,0.4,13,6.29,89,90.4,575,427,49,39,268,0.05,120,67.9,227.4,60.71,8.62,47.91,13.72,61.53,8.82,72.74,16.45,0.9,0.5,18.1,0.01,8.02,12.74,45,58,NA,310,233,NA,NA,2,5,5,25,25,5,684,9,12,1555,11,4,0.5,2.5,0.25,50,293,0.5,5,710,13,49,1968,123,5.9,23,2.5,0.25,7429,368,0.5,0.025,0.003,0.12,NA,NA,NA,8428.57,189.39,2285.71,NA,1530.61,38.78,755.1,NA,151612.24,530.61,81.63,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,22,NA,NA,NA
Potosí - Naciente río La Ribera,BNR-010,2023-08-03,8:55,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.756""","65° 43' 53.796""",-19.5977,-65.7316,NA,NA,4250,102.7,7.7,-43.8,235.95,0,1.7,6.81,80.5,3.64,783,765,1,31,142,0.05,110,9.7,12.8,27.4,2.95,10.58,2.41,35.67,3.16,11.56,2.98,0.2,0.1,0.2,0.01,4.59,11.34,11,14,NA,0,0,NA,NA,0,5,5,25,25,5,897,0.5,5,25,4,0.25,0.5,2.5,0.25,1364,175,0.5,5,950,0.5,5,25,5,0.25,1,2.5,0.25,1788,187,0.5,0.025,5e-4,NA,NA,NA,NA,NA,NA,1000,NA,12000,NA,NA,NA,424000,53000,NA,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,10,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-08-02,14:05,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,19 8 50.22,65 33 51.798,-19.1473,-65.5644,0.677,0,1801,150.2,8.55,-94.4,555,0.2,20.2,6.57,101.8,97.3,491,395,40,0.025,284,30,150,5.9,166.2,34.08,38.59,13.17,4.3,37.11,55.49,14.75,9.66,0.2,0.05,0.15,0.01,3.12,10.64,6,8,NA,22,1,NA,NA,0,5,5,25,25,5,840,3,5,25,0.5,0.8,0.5,2.5,0.25,50,145,0.5,5,850,4,65,306,2,2.4,2,2.5,0.25,4019,241,0.5,0.025,5e-4,0.006,NA,NA,NA,7650,NA,50,NA,2400,40,1625,NA,100475,250,25,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-08-02,12:45,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 57.45""","65° 34' 19.746""",-19.1326,-65.5722,0.781,5,992,159,8.43,-84.9,1008,0.4,12.1,8.2,105.4,57.9,695,608,40,22,192,0.05,135,333.4,111.7,30.45,16.04,143.2,8,39.8,17.59,230,15.64,0.6,0.5,2.61,1.2,15.63,9.94,8,10,NA,0,0,NA,NA,0,5,5,25,25,5,232,3,5,144,25,0.25,0.5,2.5,0.25,50,1835,0.5,5,268,10,12,576,54,1.8,8,2.5,0.25,1941,2368,0.5,0.025,5e-4,0.031,NA,NA,NA,10800,0,725,NA,13325,45,300,NA,48525,900,175,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,9,NA,NA,NA
Palca Grande,BPG-110,2023-08-01,17:50,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.29""","65° 14' 25.356""",-20.7423,-65.2404,0.471,5,837,155.8,8.56,-92.7,1196,0.5,14.9,7.55,98.65,43.42,1046,1005,16,12,362,20,130,46.9,504.4,60.79,73.55,51.9,8.05,63.31,84.39,112.2,13.83,0.4,0.2,0.3,0.01,6.43,12.74,2.5,3,NA,60,20,NA,NA,10,5,5,25,25,5,25,2,5,25,3,0.25,0.5,2.5,0.25,50,1470,0.5,5,95,5,5,25,5,0.25,0.5,2.5,0.25,923,1622,0.5,0.025,5e-4,0.024,NA,NA,NA,NA,NA,125,NA,9500,NA,NA,NA,57687.5,5937.5,187.5,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,7,NA,NA,NA
El Puente,BEP-100,2023-08-01,15:50,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 22.722""","65° 12' 30.888""",-21.2396,-65.2086,0.575,4,756,175.8,8.53,-92.55,1318,0.6,17.9,8.02,111.7,21.59,1169,1137,18,9,446,20,155,68.6,468.9,88.85,88.55,108.3,8.33,94.25,92.99,112.95,14.21,0.7,0.2,0.3,0.01,5.57,11.34,2.5,4,NA,80,16,NA,NA,0,5,5,25,25,5,25,1,5,25,4,0.25,0.5,2.5,0.25,50,2002,0.5,5,25,7,5,25,5,0.25,2,2.5,0.25,549,2376,0.5,0.025,5e-4,0.023,NA,NA,NA,NA,NA,55.56,NA,20777.78,NA,NA,NA,30500,NA,333.33,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,7,NA,NA,NA
San Josecito,BSJ-130,2023-07-31,18:30,July 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilaya,Unidad 6,21 9 15.006,64 13 51.15,-21.1542,-64.2309,0.195,6,NA,NA,8.67,-99.7,1211,0.6,19.97,8.15,99.3,18.01,971.5,848,24.5,13,493.9,24.9,144.9,146.7,307.7,94.2,62,73,5.54,95.3,62.7,95.5,6.56,0.15,0.15,0.015,0.005,1.36,0.9,6,8,NA,NA,NA,NA,NA,58000,5,5,25,25,5,25,2,5,25,3,0.25,0.5,2.5,0.25,50,1524,0.5,5,25,2,5,25,4,0.25,0.5,2.5,0.25,291,1719,0.5,0.01,0.5,5e-4,NA,NA,NA,NA,NA,40.82,NA,7959.18,NA,NA,NA,11877.55,NA,0,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,6,NA,1200,70
Puente Aruma - Automática,BPA-140,2023-07-31,10:35,July 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,20 54 50.142,64 6 37.788,-20.9139,-64.1105,NA,NA,751,197.45,8.5,-90.9,1327,0.6,18.4,8.93,101.8,11.65,899,832,7,13,361.7,24.9,134.9,272.9,242.3,70.5,44.5,138,6.76,71.1,48.7,153,7.45,0.15,0.15,0.015,0.005,1.94,1.2,7,8,NA,NA,NA,NA,NA,43000,5,5,25,25,5,25,1,5,25,5,0.25,0.5,2.5,0.25,50,966,0.5,5,25,1,5,25,5,0.25,0.5,2.5,0.25,50,1091,0.5,0.01,0.5,5e-4,NA,NA,NA,NA,NA,0,NA,17857.14,NA,NA,NA,NA,NA,0,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,1500,40
Villamontes,BVI-150,2023-07-30,15:25,July 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,21 15 32.142,63 30 41.7,-21.2589,-63.5116,0.304,28,668,213,8.57,-95.65,1494,0.7,20.6,9.22,108,12.4,1021,937.5,5.5,9,358.1,21.5,133.1,297.4,139.5,70.6,43.6,160,7.55,73.5,44.3,180,8.34,0.15,0.15,0.015,0.005,1.27,0.01,9.5,12,NA,NA,NA,NA,NA,47000,5,5,25,25,5,25,1,5,25,4,0.25,0.5,2.5,0.25,50,952,0.5,5,25,1,5,25,4,0.25,0.5,2.5,0.25,50,953,0.5,0.01,0.5,5e-4,NA,NA,NA,NA,NA,0,NA,181.82,NA,NA,NA,NA,NA,0,NA,water_2023_clean.xlsx,NA,NA,NA,NA,NA,8,NA,11000,40
