OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
280,1,280,2500,2500.8964162218563,28000,-0.005060464124326245
281,1,281,2499,2500.3931461840366,28100,-0.00503270037819675
282,1,282,2500,2499.893310884686,28200,-0.004998352993507069
283,1,283,2498,2499.3973302528375,28300,-0.00495980631848397
284,1,284,2496,2498.904973299301,28400,-0.004923569535362731
285,1,285,2498,2498.4160090348873,28500,-0.004889642644138803
286,1,286,2497,2497.930206470403,28600,-0.0048580256448440195
287,1,287,2498,2497.4473346166596,28700,-0.0048287185374329055
288,1,288,2495,2496.9671624844664,28800,-0.004801721321932746
289,1,289,2497,2496.489459084632,28900,-0.004777033998343541
290,1,290,2496,2496.0139934279664,29000,-0.0047546565666561945
291,1,291,2496,2495.540534525278,29100,-0.004734589026884351
292,1,292,2495,2495.068851387378,29200,-0.0047168313790007235
293,1,293,2494,2494.5987130250746,29300,-0.004701383623032598
294,1,294,2494,2494.1298884491775,29400,-0.004688245758970879
295,1,295,2493,2493.6621466704964,29500,-0.00467741778681102
296,1,296,2492,2493.1952566998402,29600,-0.004668899706562115
297,1,297,2492,2492.728987548019,29700,-0.004662691518210522
298,1,298,2492,2492.2631082258417,29800,-0.004658793221774431
299,1,299,2491,2491.7973877441177,29900,-0.004657204817240199
300,1,300,2491,2491.3315951136574,30000,-0.004657926304603279
301,1,301,2490,2490.8654993452687,30100,-0.004660957683886409
302,1,302,2490,2490.3988694497625,30200,-0.004666298955062303
303,1,303,2489,2489.931474437947,30300,-0.004673950118153698
304,1,304,2489,2489.4630833206324,30400,-0.004683911173146953
305,1,305,2492,2488.993465108628,30500,-0.004696182120046615
306,1,306,2488,2488.5223888127425,30600,-0.004710762958852683
307,1,307,2487,2488.0496234437865,30700,-0.004727653689560612
308,1,308,2489,2487.574938012569,30800,-0.0047468543121749465
309,1,309,2496,2487.0981015298994,30900,-0.004768364826695688
310,1,310,2486,2486.6220832971812,31000,-0.00476018232718161
311,1,311,2485,2486.1498155529976,31100,-0.004722677441836822
312,1,312,2485,2485.6810117139225,31200,-0.00468803839075008
313,1,313,2485,2485.215385196535,31300,-0.004656265173875909
314,1,314,2485,2484.7526494174076,31400,-0.004627357791273426
315,1,315,2483,2484.2925177931183,31500,-0.004601316242892608
316,1,316,2484,2483.8347037402436,31600,-0.004578140528747099
317,1,317,2482,2483.378920675358,31700,-0.004557830648855088
318,1,318,2481,2482.924882015039,31800,-0.004540386603189291
319,1,319,2483,2482.472301175861,31900,-0.004525808391781539
320,1,320,2480,2482.020891574402,32000,-0.0045140960145909044
321,1,321,2483,2481.570366627235,32100,-0.004505249471667412
322,1,322,2481,2481.12043975094,32200,-0.004499268762951942
323,1,323,2482,2480.6708243620897,32300,-0.004496153888503614
324,1,324,2481,2480.2212338772615,32400,-0.004495904848281498
325,1,325,2482,2479.7713817130316,32500,-0.004498521642299238
